,vid,title,time,realLikeCount,duration,auth,totcomment,comtext,comrealLikedCount,comauth
0,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,《声   音   越   好   听   长   的   越   丑》,252,♧☞■
1,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,居然还有下集[柴犬],201,欣姨不困
2,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,前面沈清秋后面，口吐芬芳城戚容,249,姑苏蓝氏夫人
3,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,我去，[捂脸],98,许淮安『江淮安』
4,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,人机局[捂脸],27,辰 ☆
5,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,还热乎,35,ˡᵒᵛᵉ滕瑞雨
6,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,我好像笑哭了。,19,动漫爱好者137
7,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,不错，还热乎,11,100%
8,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,前排，前排,10,糜鹿失眠/原眈女孩
9,3xarscwrwrws48i,行走的弹幕遇到真正的话痨，我招架不住了 #王者荣耀 #声优 #搞笑,2022-01-09 20:17:07,18145,74066.00,音浪阿布,398,第二,7,PISRIL t.17
10,3xvvzysinb6e5au,有的人真是甩都甩不掉 哼 #和平精英  #吃鸡  #师徒 ,2021-12-18 12:00:00,11195,64400.00,鹿十一,261,原创好像是布丁霸霸,81,软^O^甜
