totalLike,totalComment,tag
1,1.0,1
4320421,125832.0,#游戏
,,#苹果
69082,1409.0,#单机
4320421,125832.0,#游戏
,,#苹果
69082,1409.0,#单机
4320421,125832.0,#游戏
,,#苹果
69082,1409.0,#单机
858,107.0,#我要玩亚索
546,27.0,#游戏推荐 #射击游戏 #手游 
6264,235.0,#lol手游更新
6329,2744.0,#集结吧光合创作者 
56,14.0,#手游  #游戏搬砖  #东大木 
340,15.0,#手游 #战争 #坦克 
907,29.0,#英雄联盟手游 #英雄联盟手游无限火力 
190701,3791.0,#手机游戏
103604,4472.0,#游戏推荐
39165,1759.0,#手游推荐
482,33.0,#Cf手游  #CF手游  #CF手游六周年 
292635,25710.0,#英雄联盟手游
32461,1859.0,#英雄联盟手游国服测试
153729,15162.0,#游戏凡星计划
1257,40.0,#游戏推荐 #大卡车模拟器2 #汽车 
2627,128.0,#英雄联盟手游 #LOL手游 
2627,128.0,#英雄联盟手游 #LOL手游 
43077,3166.0,#LOL手游
292635,25710.0,#英雄联盟手游
1238,60.0,#lolm
8010,659.0,#使命召唤手游
8796,676.0,#CODM
4547,406.0,#LOL手游 
74925,2783.0,#CF手游六周年 #Cf手游 
12814,2490.0,#无限火力
292635,25710.0,#英雄联盟手游
7971,1212.0,#劫
292635,25710.0,#英雄联盟手游
226695,10164.0,#集结吧光合创作者
153729,15162.0,#游戏凡星计划
274,43.0,#手游lol
292635,25710.0,#英雄联盟手游
12814,2490.0,#无限火力
1447,109.0,#英雄联盟手游无限火力
90598,4802.0,#手游
5978,88.0,#狙击手
5978,88.0,#第一人称射击游戏
226695,10164.0,#集结吧光合创作者
2061,127.0,#2k22手游
2061,127.0,#游戏领域创作者
292635,25710.0,#英雄联盟手游
292635,25710.0,#英雄联盟手游
3875,578.0,#英雄联盟手游爆料
147582,9114.0,#英雄联盟手游 
147582,9114.0,#英雄联盟手游 
147582,9114.0,#英雄联盟手游 
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
17260,495.0,#火影忍者手游
705,65.0,"#火影忍者\""
1238,60.0,#lolm
43077,3166.0,#LOL手游
292635,25710.0,#英雄联盟手游
206,12.0,#哈利波特
206,12.0,#哈利波特魔法觉醒
206,12.0,#哈利波特手游
94,5.0,#游戏推荐 #ARPG游戏 
6264,235.0,#lol手游更新
2607,528.0,#Cf手游  #CF手游六周年 
292635,25710.0,#英雄联盟手游
292635,25710.0,#英雄联盟手游
3875,578.0,#英雄联盟手游爆料
43077,3166.0,#LOL手游
6264,235.0,#lol手游更新
43077,3166.0,#LOL手游
10137,1117.0,#英雄联盟手游公测
292635,25710.0,#英雄联盟手游
6264,235.0,#lol手游更新
1238,60.0,#lolm
63,3.0,#联盟手游2.6版本
63,3.0,#lolm随时随地 
85,13.0,#英雄联盟手游  #无限火力 
12616,1675.0,#lol手游
507,64.0,#天使
81476,3924.0,#Cf手游 
486523,40140.0,#CF手游六周年
734,51.0,#游戏推荐 #游戏凡星计划 #沙盒游戏 
226695,10164.0,#集结吧光合创作者
292635,25710.0,#英雄联盟手游
43077,3166.0,#LOL手游
113,4.0,#LOL手游  #lol手游更新 #集结吧光合创作者 
873,27.0,#八神蛮王
292635,25710.0,#英雄联盟手游
490025,40238.0,#英雄联盟
1807,59.0,#CF手游六周年 #CF手游 
41502,1521.0,#火影忍者
17260,495.0,#火影忍者手游
2982,209.0,#使命召唤手游  #CODM 
292635,25710.0,#英雄联盟手游
32461,1859.0,#英雄联盟手游国服测试
153729,15162.0,#游戏凡星计划
12616,1675.0,#lol手游
239,25.0,#剑圣
147582,9114.0,#英雄联盟手游 
12616,1675.0,#lol手游
2290,239.0,#狗头后期是无敌的
147582,9114.0,#英雄联盟手游 
12616,1675.0,#lol手游
147582,9114.0,#英雄联盟手游 
292635,25710.0,#英雄联盟手游
292635,25710.0,#英雄联盟手游
153729,15162.0,#游戏凡星计划
17260,495.0,#火影忍者手游
41502,1521.0,#火影忍者
292635,25710.0,#英雄联盟手游
43077,3166.0,#LOL手游
32461,1859.0,#英雄联盟手游国服测试
147582,9114.0,#英雄联盟手游 
8118,376.0,#游戏  #吃鸡  #我在快手涨知识 
6264,235.0,#lol手游更新
147436,14101.0,#Cf手游
486523,40140.0,#CF手游六周年
292635,25710.0,#英雄联盟手游
153729,15162.0,#游戏凡星计划
3312,533.0,#cf手游新春大赏  #游戏凡星计划 
3312,533.0,#我和射击游戏的2021 
143,9.0,"#英雄联盟手游\""
292635,25710.0,#英雄联盟手游
7364,1678.0,#万粉作者狂欢节
153729,15162.0,#游戏凡星计划
292635,25710.0,#英雄联盟手游
12814,2490.0,#无限火力
490025,40238.0,#英雄联盟
292635,25710.0,#英雄联盟手游
226695,10164.0,#集结吧光合创作者
153729,15162.0,#游戏凡星计划
292635,25710.0,#英雄联盟手游
12616,1675.0,#lol手游
292635,25710.0,#英雄联盟手游
32461,1859.0,#英雄联盟手游国服测试
490025,40238.0,#英雄联盟
292635,25710.0,#英雄联盟手游
32461,1859.0,#英雄联盟手游国服测试
28596,1228.0,#cf手游新春大赏
153729,15162.0,#游戏凡星计划
7942,1403.0,#我和射击游戏的2021
292635,25710.0,#英雄联盟手游
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
41502,1521.0,#火影忍者
8065,206.0,"#火影忍者手游\""
292635,25710.0,#英雄联盟手游
174,11.0,#兰斯
174,11.0,#LOLM
292635,25710.0,#英雄联盟手游
153729,15162.0,#游戏凡星计划
292635,25710.0,#英雄联盟手游
153729,15162.0,#游戏凡星计划
525,163.0,#英雄联盟手游新赛季
153729,15162.0,#游戏凡星计划
7364,1678.0,#万粉作者狂欢节
292635,25710.0,#英雄联盟手游
397,96.0,#LOL手游  #英雄联盟手游  #游戏凡星计划 
292635,25710.0,#英雄联盟手游
7364,1678.0,#万粉作者狂欢节
153729,15162.0,#游戏凡星计划
292635,25710.0,#英雄联盟手游
801,2650.0,#传奇手游
447,1591.0,#单职业传奇手游
447,1591.0,#传奇手游下载排行榜
489488,40894.0,#CF手游
486523,40140.0,#CF手游六周年
12616,1675.0,#lol手游
6264,235.0,#lol手游更新
364,34.0,#Cf手游  #cf  #CF手游6周年 
292635,25710.0,#英雄联盟手游
12616,1675.0,#lol手游
147582,9114.0,#英雄联盟手游 
43077,3166.0,#LOL手游
292635,25710.0,#英雄联盟手游
1238,60.0,#lolm
803,114.0,#英雄联盟手游  #游戏凡星计划 
12616,1675.0,#lol手游
12814,2490.0,#无限火力
292635,25710.0,#英雄联盟手游
357,38.0,#CF手游六周年  #Cf手游 
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
486523,40140.0,#CF手游六周年
4874,321.0,"#CF手游\""
906,71.0,#CF手游六周年  #CF手游 
292635,25710.0,#英雄联盟手游
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
292635,25710.0,#英雄联盟手游
116,52.0,"#比惨大会\""
147582,9114.0,#英雄联盟手游 
1807,59.0,#CF手游六周年 #CF手游 
803,114.0,#英雄联盟手游  #游戏凡星计划 
292635,25710.0,#英雄联盟手游
9965,6038.0,#穿越火线：枪战王者
147436,14101.0,#Cf手游
486523,40140.0,#CF手游六周年
292635,25710.0,#英雄联盟手游
292635,25710.0,#英雄联盟手游
912,33.0,# lol手游更新
27119,10408.0,#CF泰坦入侵
486523,40140.0,#CF手游六周年
147436,14101.0,#Cf手游
95,5.0,"#2021CFML #CFM #CF手游  \""
292635,25710.0,#英雄联盟手游
43077,3166.0,#LOL手游
10137,1117.0,#英雄联盟手游公测
292635,25710.0,#英雄联盟手游
1447,109.0,#英雄联盟手游无限火力
918,76.0,#英雄联盟手游劫
489488,40894.0,#CF手游
486523,40140.0,#CF手游六周年
8509,686.0,#飞车四周年放肆热爱
153729,15162.0,#游戏凡星计划
8509,686.0,#QQ飞车手游
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
486523,40140.0,#CF手游六周年
153729,15162.0,#游戏凡星计划
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
