totalLike,totalComment,tag
1,1.0,1
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
147436,14101.0,#Cf手游
6648,287.0,#CFM
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
9965,6038.0,#穿越火线：枪战王者
486523,40140.0,#CF手游六周年
147436,14101.0,#Cf手游
705,89.0,#游戏凡星计划  #LOL手游  #英雄联盟手游 
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
28526,1635.0,"#CF手游六周年\""
489488,40894.0,#CF手游
